"id","campaign","campaign url","funding instrument id","funding instrument name","time","campaign start date","campaign end date","spend","impressions","engagements","billed engagements","retweets","replies","follows","clicks","favorites","card engagements","unfollows","engagement rate","link clicks","cost per link click","link click rate","product type","currency","current remaining budget","current bid","current daily budget","current total budget","sign ups - engage","sign ups - view","sign ups - assisted","site visits - engage","site visits - view","total conversions","cost per conversion","conversion rate"
"2723732","USM Graduate","https://ads.twitter.com/accounts/doh5s/campaigns_dashboard?campaign=2723732&end=1420558654&segment=tweets&start=1412782654","31290892","Credit/debit card","2015-01-03 00:00 -0500","2014-09-22 14:36 -0400","2015-06-30 23:59 -0400","2.28","955","8","2","0","0","0","8","0","0","0","0.008376963350785341","2","1.14","0.0020942408376963353","Website clicks or conversions · Interests","USD","1162.858","2.28","2.28","1375.0","0","0","0","0","0","0","0.0","0.0"
"2723732","USM Graduate","https://ads.twitter.com/accounts/doh5s/campaigns_dashboard?campaign=2723732&end=1420558654&segment=tweets&start=1412782654","31290892","Credit/debit card","2015-01-04 00:00 -0500","2014-09-22 14:36 -0400","2015-06-30 23:59 -0400","2.28","1100","9","2","0","0","1","8","0","0","0","0.008181818181818182","2","1.14","0.0018181818181818182","Website clicks or conversions · Interests","USD","1162.858","2.28","2.28","1375.0","0","0","0","0","1","1","2.28","9.090909090909091E-4"
"2723732","USM Graduate","https://ads.twitter.com/accounts/doh5s/campaigns_dashboard?campaign=2723732&end=1420558654&segment=tweets&start=1412782654","31290892","Credit/debit card","2015-01-05 00:00 -0500","2014-09-22 14:36 -0400","2015-06-30 23:59 -0400","2.642","1453","17","2","1","0","0","16","0","0","0","0.01169993117687543","3","0.8806666666666666","0.0020646937370956643","Website clicks or conversions · Interests","USD","1162.858","2.28","2.28","1375.0","0","0","0","0","0","0","0.0","0.0"
"2687516","UG_Transfer","https://ads.twitter.com/accounts/doh5s/campaigns_dashboard?campaign=2687516&end=1420558654&segment=tweets&start=1416085440","31290892","Credit/debit card","2014-12-30 00:00 -0500","2014-11-15 16:04 -0500","2015-06-30 23:59 -0400","8.93","1661","16","5","0","0","0","16","0","0","0","0.00963275135460566","8","1.11625","0.00481637567730283","Website clicks or conversions · Keywords","USD","1572.1100000000001","3.08","8.93","2000.0","0","0","0","0","0","0","0.0","0.0"
"2687516","UG_Transfer","https://ads.twitter.com/accounts/doh5s/campaigns_dashboard?campaign=2687516&end=1420558654&segment=tweets&start=1416085440","31290892","Credit/debit card","2014-12-31 00:00 -0500","2014-11-15 16:04 -0500","2015-06-30 23:59 -0400","8.93","626","12","5","0","0","1","11","0","0","0","0.019169329073482427","6","1.4883333333333333","0.009584664536741214","Website clicks or conversions · Keywords","USD","1572.1100000000001","3.08","8.93","2000.0","0","0","0","0","0","0","0.0","0.0"
"2687516","UG_Transfer","https://ads.twitter.com/accounts/doh5s/campaigns_dashboard?campaign=2687516&end=1420558654&segment=tweets&start=1416085440","31290892","Credit/debit card","2015-01-01 00:00 -0500","2014-11-15 16:04 -0500","2015-06-30 23:59 -0400","8.93","1719","19","5","0","0","0","19","0","0","0","0.011052937754508435","6","1.4883333333333333","0.0034904013961605585","Website clicks or conversions · Keywords","USD","1572.1100000000001","3.08","8.93","2000.0","0","0","0","0","0","0","0.0","0.0"
"2687516","UG_Transfer","https://ads.twitter.com/accounts/doh5s/campaigns_dashboard?campaign=2687516&end=1420558654&segment=tweets&start=1416085440","31290892","Credit/debit card","2015-01-02 00:00 -0500","2014-11-15 16:04 -0500","2015-06-30 23:59 -0400","8.93","2377","30","5","0","0","2","28","1","0","0","0.012620950778291964","10","0.893","0.004206983592763988","Website clicks or conversions · Keywords","USD","1572.1100000000001","3.08","8.93","2000.0","0","0","0","1","0","1","8.93","4.2069835927639884E-4"
"2687516","UG_Transfer","https://ads.twitter.com/accounts/doh5s/campaigns_dashboard?campaign=2687516&end=1420558654&segment=tweets&start=1416085440","31290892","Credit/debit card","2015-01-03 00:00 -0500","2014-11-15 16:04 -0500","2015-06-30 23:59 -0400","8.93","1713","16","4","0","0","0","16","0","0","0","0.009340338587273789","6","1.4883333333333333","0.0035026269702276708","Website clicks or conversions · Keywords","USD","1572.1100000000001","3.08","8.93","2000.0","0","0","0","0","0","0","0.0","0.0"
"2687516","UG_Transfer","https://ads.twitter.com/accounts/doh5s/campaigns_dashboard?campaign=2687516&end=1420558654&segment=tweets&start=1416085440","31290892","Credit/debit card","2015-01-04 00:00 -0500","2014-11-15 16:04 -0500","2015-06-30 23:59 -0400","8.93","1517","21","5","0","0","0","21","0","0","0","0.013843111404087014","6","1.4883333333333333","0.003955174686882004","Website clicks or conversions · Keywords","USD","1572.1100000000001","3.08","8.93","2000.0","0","0","0","0","0","0","0.0","0.0"
"2687516","UG_Transfer","https://ads.twitter.com/accounts/doh5s/campaigns_dashboard?campaign=2687516&end=1420558654&segment=tweets&start=1416085440","31290892","Credit/debit card","2015-01-05 00:00 -0500","2014-11-15 16:04 -0500","2015-06-30 23:59 -0400","8.93","1140","17","5","0","0","0","17","0","0","0","0.014912280701754385","7","1.2757142857142856","0.0061403508771929825","Website clicks or conversions · Keywords","USD","1572.1100000000001","3.08","8.93","2000.0","0","0","0","0","0","0","0.0","0.0"
"2633294","USM High School Undergrad","https://ads.twitter.com/accounts/doh5s/campaigns_dashboard?campaign=2633294&end=1420558654&segment=tweets&start=1412782654","31290892","Credit/debit card","2014-12-30 00:00 -0500","2014-09-22 11:53 -0400","2015-06-30 23:59 -0400","6.45","1293","12","4","0","0","1","11","0","0","0","0.009280742459396751","4","1.6125","0.0030935808197989174","Website clicks or conversions · Keywords","USD","2046.5496","3.08","9.52","3000.0","1","0","0","1","0","2","3.225","0.0015467904098994587"
"2633294","USM High School Undergrad","https://ads.twitter.com/accounts/doh5s/campaigns_dashboard?campaign=2633294&end=1420558654&segment=tweets&start=1412782654","31290892","Credit/debit card","2014-12-31 00:00 -0500","2014-09-22 11:53 -0400","2015-06-30 23:59 -0400","5.84","1052","10","2","0","0","0","10","0","0","0","0.009505703422053232","2","2.92","0.0019011406844106464","Website clicks or conversions · Keywords","USD","2046.5496","3.08","9.52","3000.0","0","0","0","1","0","1","5.84","9.505703422053232E-4"
"2633294","USM High School Undergrad","https://ads.twitter.com/accounts/doh5s/campaigns_dashboard?campaign=2633294&end=1420558654&segment=tweets&start=1412782654","31290892","Credit/debit card","2015-01-01 00:00 -0500","2014-09-22 11:53 -0400","2015-06-30 23:59 -0400","9.52","1462","20","7","1","0","0","19","0","0","0","0.013679890560875513","7","1.3599999999999999","0.0047879616963064295","Website clicks or conversions · Keywords","USD","2046.5496","3.08","9.52","3000.0","0","0","0","0","0","0","0.0","0.0"
"2633294","USM High School Undergrad","https://ads.twitter.com/accounts/doh5s/campaigns_dashboard?campaign=2633294&end=1420558654&segment=tweets&start=1412782654","31290892","Credit/debit card","2015-01-02 00:00 -0500","2014-09-22 11:53 -0400","2015-06-30 23:59 -0400","8.43","999","5","4","0","0","0","5","0","0","0","0.005005005005005005","4","2.1075","0.004004004004004004","Website clicks or conversions · Keywords","USD","2046.5496","3.08","9.52","3000.0","0","0","0","0","0","0","0.0","0.0"
"2633294","USM High School Undergrad","https://ads.twitter.com/accounts/doh5s/campaigns_dashboard?campaign=2633294&end=1420558654&segment=tweets&start=1412782654","31290892","Credit/debit card","2015-01-03 00:00 -0500","2014-09-22 11:53 -0400","2015-06-30 23:59 -0400","9.22","1471","15","4","0","0","0","15","1","0","0","0.010197144799456152","4","2.305","0.002719238613188307","Website clicks or conversions · Keywords","USD","2046.5496","3.08","9.52","3000.0","0","0","0","0","0","0","0.0","0.0"
"2633294","USM High School Undergrad","https://ads.twitter.com/accounts/doh5s/campaigns_dashboard?campaign=2633294&end=1420558654&segment=tweets&start=1412782654","31290892","Credit/debit card","2015-01-04 00:00 -0500","2014-09-22 11:53 -0400","2015-06-30 23:59 -0400","9.07","1626","17","4","0","0","0","17","0","0","0","0.010455104551045511","4","2.2675","0.0024600246002460025","Website clicks or conversions · Keywords","USD","2046.5496","3.08","9.52","3000.0","0","0","0","1","0","1","9.07","6.150061500615006E-4"
"2633294","USM High School Undergrad","https://ads.twitter.com/accounts/doh5s/campaigns_dashboard?campaign=2633294&end=1420558654&segment=tweets&start=1412782654","31290892","Credit/debit card","2015-01-05 00:00 -0500","2014-09-22 11:53 -0400","2015-06-30 23:59 -0400","9.7104","2229","26","5","0","0","3","23","0","0","0","0.011664423508299685","6","1.6184","0.0026917900403768506","Website clicks or conversions · Keywords","USD","2046.5496","3.08","9.52","3000.0","0","0","0","2","0","2","4.8552","8.972633467922835E-4"
