weeklyDCMImport

Date/Time Generated,1/26/16 12:46 PM
Report Time Zone,America/New_York
SubAccount Name,Rinck Advertising
Account ID,9515
Date Range,1/12/16 - 1/18/16

Report Fields
Date,Campaign,Ad,Site (DCM),Placement,Ad Type,Creative,Click-through URL,Clicks,Impressions,Click Rate,Active View: Viewable Impressions,Active View: Measurable Impressions,Active View: Eligible Impressions,Media Cost
2016-01-12,DairyPure,Tracking-Catalina,Catalina Marketing - RM,Catalina,Tracking,Tracking,http://www.landolakesmilk.com/,177,67136,0.26,0,0,0,0.000000000
2016-01-12,FY2016_Graduate,300x250 Default Web Ad,MobileFuse.com,Tablet,Default,SAL_V2,http://usm.maine.edu/explore,0,221,0.00,0,0,0,1.834300000
2016-01-12,FY2016_Graduate,SAL_V2-Cross Platform,Collective.com,Cross Platform,Standard,SAL_V2,http://usm.maine.edu/explore,0,2404,0.00,258,1656,2400,11.659400000
2016-01-12,FY2016_Graduate,SAL_V2-Cross Platform,Collective.com,Cross Platform,Standard,SAL_V2,http://usm.maine.edu/explore,0,434,0.00,111,415,434,2.104900000
2016-01-12,FY2016_Graduate,SAL_V2-Cross Platform,Collective.com,Cross Platform,Standard,SAL_V2,http://usm.maine.edu/explore,1,3837,0.03,297,1487,3831,18.609450000
2016-01-12,FY2016_Graduate,SAL_V2-Tablet,MobileFuse.com,Tablet,Standard,SAL_V2,http://usm.maine.edu/explore,5,1899,0.26,0,8,8,15.761700000
2016-01-12,FY2016_Graduate,SAL_V2_Courses-Mobile,MobileFuse.com,Mobile,Standard,SAL_V2_Courses,http://usm.maine.edu/explore,5,755,0.66,0,0,0,5.247250000
2016-01-12,FY2016_Graduate,SAL_V2_Graduate-Mobile,MobileFuse.com,Mobile,Standard,SAL_V2_Graduate,http://usm.maine.edu/explore,4,887,0.45,0,3,3,6.164650000
2016-01-12,FY2016_Graduate,Tracking-Pandora_Tile,Pandora,Pandora_Tile,Tracking,Tracking,http://usm.maine.edu/explore,37,2974,1.24,0,0,0,0.000000000
2016-01-12,FY2016_Transfer,300x250 Default Web Ad,MobileFuse.com,Tablet,Default,SAL_V2,https://usm.maine.edu/explore,11,2231,0.49,0,0,0,18.517300000
2016-01-12,FY2016_Transfer,SAL_V2-Cross Platform,Collective.com,Cross Platform,Standard,SAL_V2,https://usm.maine.edu/explore,0,2920,0.00,469,1969,2920,14.162000000
2016-01-12,FY2016_Transfer,SAL_V2-Cross Platform,Collective.com,Cross Platform,Standard,SAL_V2,https://usm.maine.edu/explore,1,3166,0.03,622,2637,3164,15.355100000
2016-01-12,FY2016_Transfer,SAL_V2-Cross Platform,Collective.com,Cross Platform,Standard,SAL_V2,https://usm.maine.edu/explore,2,803,0.25,247,758,803,3.894550000
2016-01-12,FY2016_Transfer,SAL_V2-Display,Pandora,Display,Standard,SAL_V2,https://usm.maine.edu/explore,19,2825,0.67,172,190,193,0.000000000
2016-01-12,FY2016_Transfer,SAL_V2_Courses-Mobile,MobileFuse.com,Mobile,Standard,SAL_V2_Courses,https://usm.maine.edu/explore,4,978,0.41,0,0,0,6.797100000
2016-01-12,FY2016_Transfer,SAL_V2_Majors-Mobile,MobileFuse.com,Mobile,Standard,SAL_V2_Majors,https://usm.maine.edu/explore,11,1024,1.07,0,0,0,7.116800000
2016-01-12,FY2016_Transfer,SAL_V2_Majors-Mobile,MobileFuse.com,Mobile,Standard,SAL_V2_Majors,https://usm.maine.edu/explore,4,861,0.46,0,0,0,5.983950000
2016-01-12,FY2016_Undergraduate,SAL_V2-Cross Platform,Collective.com,Cross Platform,Standard,SAL_V2,https://usm.maine.edu/explore,0,93,0.00,41,92,93,0.451050000
2016-01-12,FY2016_Undergraduate,SAL_V2-Cross Platform,Collective.com,Cross Platform,Standard,SAL_V2,https://usm.maine.edu/explore,0,319,0.00,138,309,319,1.547150000
2016-01-12,FY2016_Undergraduate,SAL_V2-Cross Platform,Collective.com,Cross Platform,Standard,SAL_V2,https://usm.maine.edu/explore,0,127,0.00,61,114,127,0.615950000
2016-01-12,FY2016_Undergraduate,SAL_V2-Tablet,MobileFuse.com,Tablet,Standard,SAL_V2,https://usm.maine.edu/explore,11,2369,0.46,0,2,2,19.662700000
2016-01-12,FY2016_Undergraduate,SAL_V2_Courses-Mobile,MobileFuse.com,Mobile,Standard,SAL_V2_Courses,https://usm.maine.edu/explore,5,1351,0.37,0,5,5,9.389450000
2016-01-12,FY2016_Undergraduate,SAL_V2_Majors-Mobile,MobileFuse.com,Mobile,Standard,SAL_V2_Majors,https://usm.maine.edu/explore,9,1742,0.52,0,5,5,12.106900000
2016-01-12,HELOC,160x600 Default Web Ad,sitescout.com,SS_Retargeting_160X600,Default,160X600 default,https://www.bangor.com/landing/fixed/default.aspx,0,1,0.00,3,1,1,0.000000000
2016-01-12,HELOC,300x250 Default Web Ad,sitescout.com,SS_Retargeting_300X250,Default,300X250 Default,https://www.bangor.com/landing/fixed/default.aspx,0,0,0.00,1,0,0,0.000000000
2016-01-12,HELOC,300x600 Default Web Ad,sitescout.com,SS_Retargeting_300X600,Default,300X600 default,https://www.bangor.com/landing/fixed/default.aspx,0,0,0.00,2,0,0,0.000000000
2016-01-12,HELOC,HELOC_Lock_728X90-SS_Retargeting_728X90 (copy),sitescout.com,SS_Retargeting_728X90,Standard,HELOC_Lock_728X90,https://www.bangor.com/landing/fixed/default.aspx,0,0,0.00,2,0,0,0.000000000
2016-01-12,PWM Elite Airways,160X600-160X600,Hearst Corporation,160X600,Standard,160X600,http://eliteairways.com/,0,0,0.00,1,0,0,0.000000000
2016-01-12,PWM Elite Airways,PWM_Melbourne_300x250-1.zip-300X250,Hearst Corporation,300X250,Standard,PWM_Melbourne_300x250-1.zip,http://eliteairways.com/,0,0,0.00,4,0,0,0.000000000
2016-01-12,PWM Elite Airways,PWM_Melbourne_728x90_publish 2.zip-728X90,Hearst Corporation,728X90,Standard,PWM_Melbourne_728x90_publish 2.zip,http://eliteairways.com/,0,0,0.00,1,0,0,0.000000000
2016-01-13,BSB Apple Pay,728x90-Audience Extension 728X90,Simpli.fi,Audience Extension 728X90,Standard,728x90,http://www.bangor.com/Personal-Banking/Online-Banking/Mobile-Banking/Apple-Pay.aspx,0,1,0.00,0,1,1,0.000000000
2016-01-13,BSB Branding Campaign,160x600 Default Web Ad,Bangor Daily News,BangorDailyNews 160X600,Default,FreeATM_Mainers_160x600_static,http://www.bangor.com/Personal-Banking/Checking-Accounts/Free-ATMs-Worldwide.aspx,0,3,0.00,0,0,0,0.000000000
2016-01-13,BSB Branding Campaign,160x600_publish 2-Audience Extension 160X600,Simpli.fi,Audience Extension 160X600,Standard,160x600_publish 2,http://www.bangor.com/Personal-Banking/Checking-Accounts/Free-ATMs-Worldwide.aspx,0,116,0.00,50,97,115,0.000000000
2016-01-13,BSB Branding Campaign,160x600_publish 2-CentralMaine 160X600,centralmaine.com,CentralMaine 160X600,Standard,160x600_publish 2,http://www.bangor.com/Personal-Banking/Checking-Accounts/Free-ATMs-Worldwide.aspx,0,106,0.00,45,90,103,0.000000000
2016-01-13,BSB Branding Campaign,160x600_publish 2-MaineToday 160X600,mainetoday.com,MaineToday 160X600,Standard,160x600_publish 2,http://www.bangor.com/Personal-Banking/Checking-Accounts/Free-ATMs-Worldwide.aspx,0,100,0.00,37,83,100,0.000000000
2016-01-13,BSB Branding Campaign,160x600_publish 2-Press Herald 160X600,Mainetoday.com - Portland Press Herald,Press Herald 160X600,Standard,160x600_publish 2,http://www.bangor.com/Personal-Banking/Checking-Accounts/Free-ATMs-Worldwide.aspx,0,85,0.00,36,73,84,0.000000000
2016-01-13,BSB Branding Campaign,300x250 Default Web Ad,Bangor Daily News,BangorDailyNews 300X250,Default,FreeATM_Mainers_300x250_static,http://www.bangor.com/Personal-Banking/Checking-Accounts/Free-ATMs-Worldwide.aspx,0,1877,0.00,0,0,0,0.000000000
2016-01-13,BSB Branding Campaign,300x250 Default Web Ad,Mainetoday.com - Portland Press Herald,Press Herald 300X250,Default,FreeATM_Mainers_300x250_static,http://www.bangor.com/Personal-Banking/Checking-Accounts/Free-ATMs-Worldwide.aspx,0,2,0.00,0,0,0,0.000000000
2016-01-13,BSB Branding Campaign,300x250 Default Web Ad,Simpli.fi,Audience Extension 300X250,Default,FreeATM_Mainers_300x250_static,http://www.bangor.com/Personal-Banking/Checking-Accounts/Free-ATMs-Worldwide.aspx,0,1,0.00,0,0,0,0.000000000
2016-01-13,BSB Branding Campaign,300x250 Default Web Ad,centralmaine.com,CentralMaine 300X250,Default,FreeATM_Mainers_300x250_static,http://www.bangor.com/Personal-Banking/Checking-Accounts/Free-ATMs-Worldwide.aspx,0,2,0.00,0,0,0,0.000000000
2016-01-13,BSB Branding Campaign,300x250 Default Web Ad,mainetoday.com,MaineToday 300X250,Default,FreeATM_Mainers_300x250_static,http://www.bangor.com/Personal-Banking/Checking-Accounts/Free-ATMs-Worldwide.aspx,0,1,0.00,0,0,0,0.000000000
2016-01-13,BSB Branding Campaign,300x250_publish-Audience Extension 300X250,Simpli.fi,Audience Extension 300X250,Standard,300x250_publish,http://www.bangor.com/Personal-Banking/Checking-Accounts/Free-ATMs-Worldwide.aspx,0,365,0.00,74,313,363,0.000000000
2016-01-13,BSB Branding Campaign,300x250_publish-CentralMaine 300X250,centralmaine.com,CentralMaine 300X250,Standard,300x250_publish,http://www.bangor.com/Personal-Banking/Checking-Accounts/Free-ATMs-Worldwide.aspx,0,424,0.00,125,374,417,0.000000000
2016-01-13,BSB Branding Campaign,300x250_publish-MaineToday 300X250,mainetoday.com,MaineToday 300X250,Standard,300x250_publish,http://www.bangor.com/Personal-Banking/Checking-Accounts/Free-ATMs-Worldwide.aspx,1,479,0.21,143,401,473,0.000000000
2016-01-13,BSB Branding Campaign,300x250_publish-Press Herald 300X250,Mainetoday.com - Portland Press Herald,Press Herald 300X250,Standard,300x250_publish,http://www.bangor.com/Personal-Banking/Checking-Accounts/Free-ATMs-Worldwide.aspx,0,413,0.00,107,358,407,0.000000000
2016-01-13,BSB Branding Campaign,320x50 Default Web Ad,Mainetoday.com - Portland Press Herald,Press Herald 320X50,Default,BSB_FreeATM_Mainers_StaticAd_320x50,http://www.bangor.com/Personal-Banking/Checking-Accounts/Free-ATMs-Worldwide.aspx,0,867,0.00,302,864,867,0.000000000
2016-01-13,BSB Branding Campaign,320x50 Default Web Ad,Simpli.fi,Audience Extension 320X50,Default,BSB_FreeATM_Mainers_StaticAd_320x50,http://www.bangor.com/Personal-Banking/Checking-Accounts/Free-ATMs-Worldwide.aspx,0,466,0.00,111,327,417,0.000000000
